"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"219","12533473","寶晟企業股份有限公司","彰化縣彰化市福山里福東街66巷1之1號","陳連褔","20000000","1100527"
"220","12535296","智勳管理諮詢股份有限公司","臺北市南港區南港路3段80巷36號3樓","劉宗賢","5000000","1100527"
"221","12544653","漢寶工業有限公司","臺中市北屯區舊社里北屯路390號10樓之2","鄧啓銘","20000000","1100531"
"222","12603809","唯禾股份有限公司","桃園市楊梅區高榮路534巷11號","蔡淑雲","10000000","1100507"
"223","12607609","弘州營造有限公司","高雄市大寮區昭明里鳳林一路82巷64號1樓","劉碧靜","25000000","1100504"
"224","12607805","廣南昌實業股份有限公司","臺中市大里區新里里爽文路361號1樓","林阿菊","2000000","1100518"
"225","12609310","承永資訊科技股份有限公司","新竹市北區新雅里經國路二段438巷13號13樓之2","任耀先","55000000","1100524"
"226","12611511","美麗人生空中超市股份有限公司","臺中市西屯區朝貴一街148號1樓","林三貴","6000000","1100503"
"227","12616121","敦新科技股份有限公司","臺北市內湖區洲子街69號2樓","劉冠麟","240000000","1100528"
"228","12617249","宏哲鋼管傢俱工業有限公司","嘉義縣朴子市仁和里小槺榔74號","陳志宏","17800000","1100525"
"229","12624775","悟心國際顧問有限公司","新北市土城區和平路18號2樓","王予瑾","1000000","1100524"
"230","12625177","寬原科技股份有限公司","新竹縣竹東鎮頭重里竹中路55號1樓","林雄政","29500000","1100514"
"231","12631404","巨唐科技股份有限公司","新竹縣竹北市縣政二路15號1樓","葉鄭華","5000000","1100514"
"232","12632776","東日團隊有限公司","新北市汐止區大同路1段111巷18號8樓","劉秀琴","7000000","1100507"
"233","12633445","官田建設有限公司","臺中市西屯區福星路427號3樓","林憲坤","80000000","1100527"
"234","12635555","雅品投資股份有限公司","新竹市東區東園里1鄰花園街90號8樓之1","莊艷珠","13500000","1100514"
"235","12635746","泛雅特投資股份有限公司","新竹市東區東園里1鄰花園街90號8樓之2","賴頌傑","13500000","1100511"
"236","12636560","界霖科技股份有限公司","高雄市楠梓區中央路58號","蔡上元","940892590","1100513"
"237","12640086","裕凱工程有限公司","桃園市楊梅區高上里青年路二段325巷10號(1樓)","楊秀娥","3000000","1100510"
"238","12647200","瑪帕精密刀具系統股份有限公司","臺南市安南區工明路79號","許修華","30000000","1100507"
"239","12647969","青楨有限公司","臺中市北屯區仁和里豐樂南一街130號1樓","賴清琴","1000000","1100521"
"240","12650767","悅家投資有限公司","臺北市中山區民生東路2段172號11樓","蘇慧芬","5500000","1100520"
"241","12656827","光昱投資股份有限公司","臺北市信義區忠孝東路5段1之1號10樓","施孟漢","160000000","1100507"
"242","12656994","誠嘉國際股份有限公司","新竹縣竹北市中興里9鄰嘉豐三街32號","張美蘭","25000000","1100517"
"243","12657277","旭利投資股份有限公司","臺北市中山區建國北路2段9之2號12樓之9","鄭守怡","41275240","1100504"
"244","12662659","鼎翰保全股份有限公司","新北市土城區青雲路49巷10號2樓","翁月香","40000000","1100504"
"245","12663171","雨揚科技股份有限公司","臺北市大安區忠孝東路4段212號7樓","陳美惠","55000000","1100514"
"246","12663974","順天醫藥生技股份有限公司","臺北市南港區園區街3-2號4樓","蔡長海","1510078250","1100506"
"247","12664474","漢磊設計系統工程有限公司","臺北市信義區松信路222號1樓","翁錦玉","5000000","1100519"
"248","12664925","台灣日立江森自控空調設備販賣股份有限公司","臺北市中山區南京東路3段63號","黃葉寶鳳","50000000","1100514"
"249","12665987","金祥鳴企業有限公司","新北市淡水區下圭柔山70巷11之1號","葉雪芳","500000","1100511"
"250","12667155","福和投資股份有限公司","臺北市士林區天母北路32號2樓","李世聰","1000000","1100524"
"251","12671762","亞洲住網資訊股份有限公司","臺北市大安區羅斯福路2段95號5樓","田種楠","56800000","1100517"
"252","12679504","珐興數智實業有限公司","臺北市中山區民權東路3段58號7樓","張寗","10000000","1100517"
